id,name,height,weight,base_experience,types,abilities,stats_hp,stats_attack,stats_defense,stats_special_attack,stats_special_defense,stats_speed
227,skarmory,17,505,163,"steel, flying","keen-eye, sturdy, weak-armor",65,80,140,40,70,70
228,houndour,6,108,66,"dark, fire","early-bird, flash-fire, unnerve",45,60,30,80,50,65
229,houndoom,14,350,175,"dark, fire","early-bird, flash-fire, unnerve",75,90,50,110,80,95
230,kingdra,18,1520,270,"water, dragon","swift-swim, sniper, damp",75,95,95,95,95,85
231,phanpy,5,335,66,ground,"pickup, sand-veil",90,60,60,40,40,40
232,donphan,11,1200,175,ground,"sturdy, sand-veil",90,120,120,60,60,50
233,porygon2,6,325,180,normal,"trace, download, analytic",85,80,90,105,95,60
234,stantler,14,712,163,normal,"intimidate, frisk, sap-sipper",73,95,62,85,65,85
235,smeargle,12,580,88,normal,"own-tempo, technician, moody",55,20,35,20,45,75
236,tyrogue,7,210,42,fighting,"guts, steadfast, vital-spirit",35,35,35,35,35,35
237,hitmontop,14,480,159,fighting,"intimidate, technician, steadfast",50,95,95,35,110,70
238,smoochum,4,60,61,"ice, psychic","oblivious, forewarn, hydration",45,30,15,85,65,65
239,elekid,6,235,72,electric,"static, vital-spirit",45,63,37,65,55,95
240,magby,7,214,73,fire,"flame-body, vital-spirit",45,75,37,70,55,83
241,miltank,12,755,172,normal,"thick-fat, scrappy, sap-sipper",95,80,105,40,70,100
242,blissey,15,468,635,normal,"natural-cure, serene-grace, healer",255,10,10,75,135,55
243,raikou,19,1780,290,electric,"pressure, inner-focus",90,85,75,115,100,115
244,entei,21,1980,290,fire,"pressure, inner-focus",115,115,85,90,75,100
245,suicune,20,1870,290,water,"pressure, inner-focus",100,75,115,90,115,85
246,larvitar,6,720,60,"rock, ground","guts, sand-veil",50,64,50,45,50,41
247,pupitar,12,1520,144,"rock, ground",shed-skin,70,84,70,65,70,51
248,tyranitar,20,2020,300,"rock, dark","sand-stream, unnerve",100,134,110,95,100,61
249,lugia,52,2160,340,"psychic, flying","pressure, multiscale",106,90,130,90,154,110
250,ho-oh,38,1990,340,"fire, flying","pressure, regenerator",106,130,90,110,154,90
251,celebi,6,50,300,"psychic, grass",natural-cure,100,100,100,100,100,100
252,treecko,5,50,62,grass,"overgrow, unburden",40,45,35,65,55,70
253,grovyle,9,216,142,grass,"overgrow, unburden",50,65,45,85,65,95
254,sceptile,17,522,265,grass,"overgrow, unburden",70,85,65,105,85,120
255,torchic,4,25,62,fire,"blaze, speed-boost",45,60,40,70,50,45
256,combusken,9,195,142,"fire, fighting","blaze, speed-boost",60,85,60,85,60,55
257,blaziken,19,520,265,"fire, fighting","blaze, speed-boost",80,120,70,110,70,80
258,mudkip,4,76,62,water,"torrent, damp",50,70,50,50,50,40
259,marshtomp,7,280,142,"water, ground","torrent, damp",70,85,70,60,70,50
260,swampert,15,819,268,"water, ground","torrent, damp",100,110,90,85,90,60
261,poochyena,5,136,56,dark,"run-away, quick-feet, rattled",35,55,35,30,30,35
262,mightyena,10,370,147,dark,"intimidate, quick-feet, moxie",70,90,70,60,60,70
263,zigzagoon,4,175,56,normal,"pickup, gluttony, quick-feet",38,30,41,30,41,60
264,linoone,5,325,147,normal,"pickup, gluttony, quick-feet",78,70,61,50,61,100
265,wurmple,3,36,56,bug,"shield-dust, run-away",45,45,35,20,30,20
266,silcoon,6,100,72,bug,shed-skin,50,35,55,25,25,15
267,beautifly,10,284,178,"bug, flying","swarm, rivalry",60,70,50,100,50,65
268,cascoon,7,115,72,bug,shed-skin,50,35,55,25,25,15
269,dustox,12,316,173,"bug, poison","shield-dust, compound-eyes",60,50,70,50,90,65
270,lotad,5,26,44,"water, grass","swift-swim, rain-dish, own-tempo",40,30,30,40,50,30
271,lombre,12,325,119,"water, grass","swift-swim, rain-dish, own-tempo",60,50,50,60,70,50
272,ludicolo,15,550,240,"water, grass","swift-swim, rain-dish, own-tempo",80,70,70,90,100,70
273,seedot,5,40,44,grass,"chlorophyll, early-bird, pickpocket",40,40,50,30,30,30
274,nuzleaf,10,280,119,"grass, dark","chlorophyll, early-bird, pickpocket",70,70,40,60,40,60
275,shiftry,13,596,240,"grass, dark","chlorophyll, wind-rider, pickpocket",90,100,60,90,60,80
276,taillow,3,23,54,"normal, flying","guts, scrappy",40,55,30,30,30,85
277,swellow,7,198,159,"normal, flying","guts, scrappy",60,85,60,75,50,125
278,wingull,6,95,54,"water, flying","keen-eye, hydration, rain-dish",40,30,30,55,30,85
279,pelipper,12,280,154,"water, flying","keen-eye, drizzle, rain-dish",60,50,100,95,70,65
280,ralts,4,66,40,"psychic, fairy","synchronize, trace, telepathy",28,25,25,45,35,40
281,kirlia,8,202,97,"psychic, fairy","synchronize, trace, telepathy",38,35,35,65,55,50
282,gardevoir,16,484,259,"psychic, fairy","synchronize, trace, telepathy",68,65,65,125,115,80
283,surskit,5,17,54,"bug, water","swift-swim, rain-dish",40,30,32,50,52,65
284,masquerain,8,36,159,"bug, flying","intimidate, unnerve",70,60,62,100,82,80
285,shroomish,4,45,59,grass,"effect-spore, poison-heal, quick-feet",60,40,60,40,60,35
286,breloom,12,392,161,"grass, fighting","effect-spore, poison-heal, technician",60,130,80,60,60,70
287,slakoth,8,240,56,normal,truant,60,60,60,35,35,30
288,vigoroth,14,465,154,normal,vital-spirit,80,80,80,55,55,90
289,slaking,20,1305,252,normal,truant,150,160,100,95,65,100
290,nincada,5,55,53,"bug, ground","compound-eyes, run-away",31,45,90,30,30,40
291,ninjask,8,120,160,"bug, flying","speed-boost, infiltrator",61,90,45,50,50,160
292,shedinja,8,12,83,"bug, ghost",wonder-guard,1,90,45,30,30,40
293,whismur,6,163,48,normal,"soundproof, rattled",64,51,23,51,23,28
294,loudred,10,405,126,normal,"soundproof, scrappy",84,71,43,71,43,48
295,exploud,15,840,245,normal,"soundproof, scrappy",104,91,63,91,73,68
296,makuhita,10,864,47,fighting,"thick-fat, guts, sheer-force",72,60,30,20,30,25
297,hariyama,23,2538,166,fighting,"thick-fat, guts, sheer-force",144,120,60,40,60,50
298,azurill,2,20,38,"normal, fairy","thick-fat, huge-power, sap-sipper",50,20,40,20,40,20
299,nosepass,10,970,75,rock,"sturdy, magnet-pull, sand-force",30,45,135,45,90,30
300,skitty,6,110,52,normal,"cute-charm, normalize, wonder-skin",50,45,45,35,35,50
301,delcatty,11,326,140,normal,"cute-charm, normalize, wonder-skin",70,65,65,55,55,90
302,sableye,5,110,133,"dark, ghost","keen-eye, stall, prankster",50,75,75,65,65,50
303,mawile,6,115,133,"steel, fairy","hyper-cutter, intimidate, sheer-force",50,85,85,55,55,50
304,aron,4,600,66,"steel, rock","sturdy, rock-head, heavy-metal",50,70,100,40,40,30
305,lairon,9,1200,151,"steel, rock","sturdy, rock-head, heavy-metal",60,90,140,50,50,40
306,aggron,21,3600,265,"steel, rock","sturdy, rock-head, heavy-metal",70,110,180,60,60,50
307,meditite,6,112,56,"fighting, psychic","pure-power, telepathy",30,40,55,40,55,60
308,medicham,13,315,144,"fighting, psychic","pure-power, telepathy",60,60,75,60,75,80
309,electrike,6,152,59,electric,"static, lightning-rod, minus",40,45,40,65,40,65
310,manectric,15,402,166,electric,"static, lightning-rod, minus",70,75,60,105,60,105
311,plusle,4,42,142,electric,"plus, lightning-rod",60,50,40,85,75,95
312,minun,4,42,142,electric,"minus, volt-absorb",60,40,50,75,85,95
313,volbeat,7,177,151,bug,"illuminate, swarm, prankster",65,73,75,47,85,85
314,illumise,6,177,151,bug,"oblivious, tinted-lens, prankster",65,47,75,73,85,85
315,roselia,3,20,140,"grass, poison","natural-cure, poison-point, leaf-guard",50,60,45,100,80,65
316,gulpin,4,103,60,poison,"liquid-ooze, sticky-hold, gluttony",70,43,53,43,53,40
317,swalot,17,800,163,poison,"liquid-ooze, sticky-hold, gluttony",100,73,83,73,83,55
318,carvanha,8,208,61,"water, dark","rough-skin, speed-boost",45,90,20,65,20,65
