id,name,generation,effect,short_effect,pokemon
15,insomnia,generation-iii,"This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to vital spirit in battle.",Prevents sleep.,"drowzee, hypno, hoothoot, noctowl, spinarak, ariados, murkrow, delibird, shuppet, banette, honchkrow, pumpkaboo-average, gourgeist-average, tarountula, spidops, capsakid, scovillain, pumpkaboo-small, pumpkaboo-large, pumpkaboo-super, gourgeist-small, gourgeist-large, gourgeist-super, mewtwo-mega-y"
16,color-change,generation-iii,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",Changes type to match when hit by a damaging move.,kecleon
17,immunity,generation-iii,"This Pokémon cannot be poisoned.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",Prevents poison.,"snorlax, gligar, zangoose, snorlax-gmax"
18,flash-fire,generation-iii,"This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.","Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.","vulpix, ninetales, growlithe, arcanine, ponyta, rapidash, flareon, cyndaquil, quilava, typhlosion, houndour, houndoom, heatran, litwick, lampent, chandelure, heatmor, rolycoly, carkol, coalossal, sizzlipede, centiskorch, charcadet, armarouge, ceruledge, coalossal-gmax, centiskorch-gmax, growlithe-hisui, arcanine-hisui"
19,shield-dust,generation-iii,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",Protects against incoming moves' extra effects.,"caterpie, weedle, venomoth, wurmple, dustox, scatterbug, vivillon, cutiefly, ribombee, snom, frosmoth, ribombee-totem"
20,own-tempo,generation-iii,"This Pokémon cannot be confused.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",Prevents confusion.,"slowpoke, slowbro, lickitung, slowking, smeargle, lotad, lombre, ludicolo, numel, spoink, grumpig, spinda, glameow, purugly, lickilicky, petilil, lilligant, espurr, bergmite, avalugg, mudbray, mudsdale, tandemaus, fidough, tadbulb, tinkatink, tinkatuff, tinkaton, rockruff-own-tempo, slowpoke-galar, slowbro-galar, slowking-galar, indeedee-female"
21,suction-cups,generation-iii,"This Pokémon cannot be forced out of battle by moves such as whirlwind.

dragon tail and circle throw still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.",Prevents being forced out of battle by other Pokémon's moves.,"octillery, lileep, cradily, inkay, malamar"
22,intimidate,generation-iii,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a substitute.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Lowers opponents' Attack one stage upon entering battle.,"ekans, arbok, growlithe, arcanine, tauros, gyarados, snubbull, granbull, qwilfish, stantler, hitmontop, mightyena, masquerain, mawile, salamence, staravia, staraptor, shinx, luxio, luxray, herdier, stoutland, sandile, krokorok, krookodile, scraggy, scrafty, litten, torracat, incineroar, wyrdeer, overqwil, squawkabilly-green-plumage, maschiff, mabosstiff, landorus-therian, manectric-mega, growlithe-hisui, arcanine-hisui, qwilfish-hisui, tauros-paldea-combat-breed, tauros-paldea-blaze-breed, tauros-paldea-aqua-breed, squawkabilly-blue-plumage, squawkabilly-yellow-plumage, squawkabilly-white-plumage"
23,shadow-tag,generation-iii,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.",Prevents opponents from fleeing or switching out.,"wobbuffet, wynaut, gothita, gothorita, gothitelle, gengar-mega"
24,rough-skin,generation-iii,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to iron barbs.",Damages attacking Pokémon for 1/8 their max HP on contact.,"carvanha, sharpedo, gible, gabite, garchomp, druddigon"
25,wonder-guard,generation-iii,"This Pokémon is immune to damaging moves that are not super effective against it.

Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.

This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",Protects against damaging moves that are not super effective.,shedinja
26,levitate,generation-iii,"This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.

This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.",Evades ground moves.,"gastly, haunter, koffing, weezing, misdreavus, unown, vibrava, flygon, lunatone, solrock, baltoy, claydol, duskull, chimecho, latias, latios, mismagius, chingling, bronzor, bronzong, carnivine, rotom, uxie, mesprit, azelf, cresselia, tynamo, eelektrik, eelektross, cryogonal, hydreigon, vikavolt, giratina-origin, rotom-heat, rotom-wash, rotom-frost, rotom-fan, rotom-mow, latias-mega, latios-mega, vikavolt-totem, weezing-galar"
27,effect-spore,generation-iii,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.","Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact.","vileplume, paras, parasect, shroomish, breloom, foongus, amoonguss, morelull, shiinotic, gossifleur, eldegoss"
28,synchronize,generation-iii,"Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.","Copies burns, paralysis, and poison received onto the Pokémon that inflicted them.","abra, kadabra, alakazam, mew, natu, xatu, espeon, umbreon, ralts, kirlia, gardevoir, munna, musharna, elgyem, beheeyem, indeedee-male, rabsca, indeedee-female"
29,clear-body,generation-iii,"This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to white smoke in battle.",Prevents stats from being lowered by other Pokémon.,"tentacool, tentacruel, beldum, metang, metagross, regirock, regice, registeel, klink, klang, klinklang, carbink, diancie, dreepy, drakloak, dragapult, nacli, naclstack, garganacl"
30,natural-cure,generation-iii,"This Pokémon is cured of any major status ailment when it is switched out for another Pokémon.

If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.",Cures any major status ailment upon switching out.,"chansey, staryu, starmie, corsola, blissey, celebi, roselia, swablu, altaria, budew, roserade, happiny, shaymin-land, phantump, trevenant, comfey, pawmi, pawmo, pawmot"
31,lightning-rod,generation-iii,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage.","pikachu, raichu, cubone, marowak, rhyhorn, rhydon, goldeen, seaking, pichu, electrike, manectric, plusle, rhyperior, blitzle, zebstrika, togedemaru, pincurchin, sceptile-mega, pikachu-rock-star, pikachu-belle, pikachu-pop-star, pikachu-phd, pikachu-libre, pikachu-cosplay, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, marowak-alola, pikachu-partner-cap, marowak-totem, togedemaru-totem, pikachu-starter, pikachu-world-cap, pikachu-gmax"
32,serene-grace,generation-iii,"This Pokémon's moves have twice their usual effect chance.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected.

secret power is unaffected.",Doubles the chance of moves' extra effects occurring.,"chansey, togepi, togetic, dunsparce, blissey, jirachi, happiny, togekiss, deerling, sawsbuck, meloetta-aria, dudunsparce-two-segment, shaymin-sky, meloetta-pirouette, dudunsparce-three-segment"
33,swift-swim,generation-iii,"This Pokémon's Speed is doubled during rain.

This bonus does not count as a stat modifier.",Doubles Speed during rain.,"psyduck, golduck, poliwag, poliwhirl, poliwrath, horsea, goldeen, seaking, magikarp, omanyte, omastar, kabuto, kabutops, qwilfish, mantine, kingdra, lotad, lombre, ludicolo, surskit, anorith, armaldo, feebas, huntail, gorebyss, relicanth, luvdisc, buizel, floatzel, finneon, lumineon, mantyke, tympole, palpitoad, seismitoad, tirtouga, carracosta, beartic, chewtle, drednaw, arrokuda, barraskewda, basculegion-male, overqwil, swampert-mega, drednaw-gmax, qwilfish-hisui, basculegion-female"
34,chlorophyll,generation-iii,"This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.",Doubles Speed during strong sunlight.,"bulbasaur, ivysaur, venusaur, oddish, gloom, vileplume, bellsprout, weepinbell, victreebel, exeggcute, exeggutor, tangela, bellossom, hoppip, skiploom, jumpluff, sunkern, sunflora, seedot, nuzleaf, shiftry, tropius, cherubi, tangrowth, leafeon, sewaddle, swadloon, leavanny, cottonee, whimsicott, petilil, lilligant, maractus, deerling, sawsbuck, capsakid, scovillain, venusaur-gmax, lilligant-hisui"
35,illuminate,generation-iii,"Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.

This ability has no effect in battle.",Doubles the wild encounter rate.,"staryu, starmie, chinchou, lanturn, volbeat, watchog, morelull, shiinotic"
36,trace,generation-iii,"When this Pokémon enters battle, it copies a random opponent's ability.

This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode.",Copies an opponent's ability upon entering battle.,"porygon, porygon2, ralts, kirlia, gardevoir, alakazam-mega"
37,huge-power,generation-iii,"This Pokémon's Attack is doubled while in battle.

This bonus does not count as a stat modifier.

This ability functions identically to pure power.",Doubles Attack in battle.,"marill, azumarill, azurill, bunnelby, diggersby, mawile-mega"
38,poison-point,generation-iii,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",Has a 30% chance of poisoning attacking Pokémon on contact.,"nidoran-f, nidorina, nidoqueen, nidoran-m, nidorino, nidoking, seadra, qwilfish, roselia, budew, roserade, venipede, whirlipede, scolipede, skrelp, dragalge, overqwil, clodsire, qwilfish-hisui, wooper-paldea"
39,inner-focus,generation-iii,This Pokémon cannot flinch.,Prevents flinching.,"zubat, golbat, abra, kadabra, alakazam, farfetchd, drowzee, hypno, hitmonchan, kangaskhan, dragonite, crobat, umbreon, girafarig, sneasel, raikou, entei, suicune, snorunt, glalie, riolu, lucario, throh, sawk, darumaka, mienfoo, mienshao, pawniard, bisharp, mudbray, mudsdale, oranguru, indeedee-male, kubfu, annihilape, gallade-mega, darumaka-galar, sneasel-hisui"
40,magma-armor,generation-iii,"This Pokémon cannot be frozen.

If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or flame body.",Prevents freezing.,"slugma, magcargo, camerupt"
41,water-veil,generation-iii,"This Pokémon cannot be burned.

If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.",Prevents burns.,"goldeen, seaking, mantine, wailmer, wailord, huntail, buizel, floatzel, finneon, lumineon, mantyke, finizen, finizen, dondozo"
42,magnet-pull,generation-iii,"While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.",Prevents steel opponents from fleeing or switching out.,"magnemite, magneton, nosepass, magnezone, probopass, meltan, geodude-alola, graveler-alola, golem-alola"
43,soundproof,generation-iii,"This Pokémon is immune to moves flagged as being sound-based.

heal bell is unaffected.  uproar still prevents this Pokémon from sleeping.  This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

howl, roar of time, sonic boom, and yawn are not flagged as sound-based.",Protects against sound-based moves.,"voltorb, electrode, mr-mime, whismur, loudred, exploud, shieldon, bastiodon, mime-jr, snover, abomasnow, bouffalant, jangmo-o, hakamo-o, kommo-o, kommo-o-totem, voltorb-hisui, electrode-hisui"
44,rain-dish,generation-iii,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,Heals for 1/16 max HP after each turn during rain.,"squirtle, wartortle, blastoise, tentacool, tentacruel, lotad, lombre, ludicolo, wingull, pelipper, surskit, morelull, shiinotic, blastoise-gmax"
45,sand-stream,generation-iii,"The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Summons a sandstorm that lasts indefinitely upon entering battle.,"tyranitar, hippopotas, hippowdon, gigalith, tyranitar-mega"
46,pressure,generation-iii,"Moves targetting this Pokémon use one extra PP.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Increases the PP cost of moves targetting the Pokémon by one.,"aerodactyl, articuno, zapdos, moltres, mewtwo, raikou, entei, suicune, lugia, ho-oh, wailmer, wailord, dusclops, absol, deoxys-normal, vespiquen, spiritomb, weavile, dusknoir, dialga, palkia, giratina-altered, pawniard, bisharp, kyurem, corviknight, eternatus, sneasler, kingambit, deoxys-attack, deoxys-defense, deoxys-speed, eternatus-eternamax, corviknight-gmax, dialga-origin, palkia-origin"
47,thick-fat,generation-iii,This Pokémon takes half as much damage from fire- and ice-type moves.,Halves damage from fire and ice moves.,"seel, dewgong, snorlax, marill, azumarill, swinub, piloswine, miltank, makuhita, hariyama, azurill, spoink, grumpig, spheal, sealeo, walrein, purugly, munchlax, mamoswine, tepig, pignite, appletun, lechonk, oinkologne-male, cetoddle, cetitan, venusaur-mega, rattata-alola, raticate-alola, raticate-totem-alola, snorlax-gmax, appletun-gmax, oinkologne-female"
48,early-bird,generation-iii,"This Pokémon's remaining sleep turn count falls by 2 rather than 1.

If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up.",Makes sleep pass twice as quickly.,"doduo, dodrio, kangaskhan, ledyba, ledian, natu, xatu, sunkern, sunflora, girafarig, houndour, houndoom, seedot, nuzleaf, smoliv, dolliv"
49,flame-body,generation-iii,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or magma armor.",Has a 30% chance of burning attacking Pokémon on contact.,"ponyta, rapidash, magmar, moltres, slugma, magcargo, magby, magmortar, heatran, litwick, lampent, chandelure, larvesta, volcarona, fletchinder, talonflame, carkol, coalossal, sizzlipede, centiskorch, charcadet, coalossal-gmax, centiskorch-gmax"
50,run-away,generation-iii,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",Ensures success fleeing from wild battles.,"caterpie, weedle, rattata, raticate, oddish, venonat, ponyta, rapidash, doduo, dodrio, eevee, sentret, furret, aipom, dunsparce, snubbull, poochyena, wurmple, nincada, kricketot, pachirisu, buneary, patrat, lillipup, nickit, thievul, wooloo, tandemaus, maschiff, dudunsparce-two-segment, eevee-starter, ponyta-galar, rapidash-galar, eevee-gmax, dudunsparce-three-segment, gimmighoul-roaming, gimmighoul-roaming"
51,keen-eye,generation-iii,"This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Prevents accuracy from being lowered.,"pidgey, pidgeotto, pidgeot, spearow, fearow, farfetchd, hitmonchan, sentret, furret, hoothoot, noctowl, sneasel, skarmory, wingull, pelipper, sableye, starly, glameow, stunky, skuntank, chatot, skorupi, drapion, patrat, watchog, ducklett, swanna, rufflet, braviary, espurr, meowstic-male, pikipek, trumbeak, toucannon, rockruff, lycanroc-midday, rookidee, corvisquire, bombirdier, meowstic-female, lycanroc-midnight, sneasel-hisui, braviary-hisui"
52,hyper-cutter,generation-iii,"This Pokémon's Attack cannot be lowered by other Pokémon.

This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn.  This Pokémon can still be passed negative Attack modifiers through heart swap or power swap.",Prevents Attack from being lowered by other Pokémon.,"krabby, kingler, pinsir, gligar, mawile, trapinch, corphish, crawdaunt, gliscor, crabrawler, crabominable, kingler-gmax"
53,pickup,generation-iii,"At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The air balloon and eject button cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.,"meowth, aipom, teddiursa, phanpy, zigzagoon, linoone, pachirisu, ambipom, munchlax, lillipup, bunnelby, diggersby, dedenne, pumpkaboo-average, gourgeist-average, pikipek, trumbeak, tandemaus, greavard, pumpkaboo-small, pumpkaboo-large, pumpkaboo-super, gourgeist-small, gourgeist-large, gourgeist-super, meowth-alola, meowth-galar, zigzagoon-galar, linoone-galar, meowth-gmax"
54,truant,generation-iii,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do.  Most such moves, for example bide or rollout, are simply cut off upon loafing around.  Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual.

If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap.",Skips every second turn.,"slakoth, slaking, durant"
55,hustle,generation-iii,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×.","rattata, raticate, nidoran-f, nidorina, nidoran-m, nidorino, togepi, togetic, corsola, remoraid, delibird, combee, togekiss, darumaka, rufflet, durant, deino, zweilous, flapple, dracozolt, squawkabilly-green-plumage, rattata-alola, raticate-alola, raticate-totem-alola, darumaka-galar, flapple-gmax, lilligant-hisui, squawkabilly-blue-plumage, squawkabilly-yellow-plumage, squawkabilly-white-plumage"
